S.No.,Name,Designation,Department,Domain,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects - Completed,Research Projects - Ongoing,Total Publications,All_Domains,Primary Domain,Domain Category,Total_Projects,Has_Projects
4,Dr Davinder Singh,Assistant Professor (Grade-I),Civil Engineering,Water & Waste Water Treatment,19,34,17,1,0,70,"['water and wastewater', 'water and wastewater']",water and wastewater,Civil & Environmental,1,True
5,Dr Kanish Kapoor,Assistant Professor (Grade-I),Civil Engineering,Durability evaluation of different concretes,52,32,11,1,4,95,['concrete technology'],concrete technology,Civil & Environmental,5,True
6,Dr Mahesh Patel,Assistant Professor (Grade-I),Civil Engineering,Turbulent fluvial flows,29,41,7,1,6,77,['environmental fluid dynamics'],environmental fluid dynamics,Other,7,True
7,Dr Navdeep Singh,Assistant Professor (Grade-I),Civil Engineering,Durability behavior of concrete composites,29,41,14,2,2,84,['concrete technology'],concrete technology,Civil & Environmental,4,True
8,Dr Neelam Rani,Assistant Professor (Grade-I),Civil Engineering,Structural Engineering,6,17,3,1,1,26,['structural engineering'],structural engineering,Civil & Environmental,2,True
9,Dr Rupali Satavalekar,Assistant Professor (Grade-I),Civil Engineering,Geotechnical Engineering,33,46,7,0,0,86,['geotechnical engineering'],geotechnical engineering,Civil & Environmental,0,False
10,Dr Senthil Kasilingam,Assistant Professor (Grade-I),Civil Engineering,Concrete Structures,59,88,10,4,0,157,['concrete technology'],concrete technology,Civil & Environmental,4,True
11,Dr. Shailja Bawa,Assistant Professor (Grade-I),Civil Engineering,Transportation Engineering,19,47,13,0,0,79,['transportation engineering'],transportation engineering,Civil & Environmental,0,False
12,Dr Shashi Kant Sharma,Assistant Professor (Grade-I),Civil Engineering,Geopolymer concrete,31,31,2,1,0,64,['concrete technology'],concrete technology,Civil & Environmental,1,True
13,Dr Abhishek Sharma,Assistant Professor (Grade-II),Civil Engineering,Bridge engineering,4,6,0,1,0,10,['structural engineering'],structural engineering,Civil & Environmental,1,True
14,Dr Arvind Kumar Bairwa,Assistant Professor Grade-II,Civil Engineering,Environmental Fluid Dynamics,3,3,0,0,0,6,['environmental fluid dynamics'],environmental fluid dynamics,Other,0,False
15,Dr Arya Anuj Jee,Assistant Professor (Grade-II),Civil Engineering,Durability study of concrete under aggressive environment,5,5,5,0,0,15,['concrete technology'],concrete technology,Civil & Environmental,0,False
16,Dr Kumbamutlang War,Assistant Professor Grade-II,Civil Engineering,Geotechnical Engineering,0,0,0,0,0,0,['geotechnical engineering'],geotechnical engineering,Civil & Environmental,0,False
17,Dr Koteswaraarao Jadda,Assistant Professor (Grade-II),Civil Engineering,Geotechnical and Geoenvironmental Engineering,12,5,4,0,0,21,['geotechnical engineering'],geotechnical engineering,Civil & Environmental,0,False
18,Dr Phibe Khalkho,Assistant Professor (Grade-II),Civil Engineering,Experimental Rock Mechanics,2,7,2,0,0,11,['rock mechanics'],rock mechanics,Civil & Environmental,0,False
19,Dr Roop Kishor,Assistant Professor (Grade-II),Civil Engineering,Highway Materials,6,12,0,0,0,18,['highway materials'],highway materials,Other,0,False
20,Dr Sabyasachi Swain,Assistant Professor Grade-II,Civil Engineering,Not Provided,0,0,0,0,0,0,['other'],other,Other,0,False
